wavelength_nm,measured_norm,nist_synth_norm
232.53234900,2.09845927e-01,3.15125451e-01
232.54829400,2.06454090e-01,3.32442060e-01
232.56422400,1.69815849e-01,3.43133158e-01
232.58017000,1.38025375e-01,3.46461470e-01
232.59611500,1.36793434e-01,3.42150977e-01
232.61206100,1.30569733e-01,3.30464232e-01
232.62800600,1.37337408e-01,3.12164835e-01
232.64395100,1.42489161e-01,2.88435069e-01
232.65986600,1.25561973e-01,2.60814617e-01
232.67581200,9.98672064e-02,2.30840742e-01
232.69175700,1.01483129e-01,2.00229432e-01
232.70770300,1.05930915e-01,1.70529792e-01
232.72364800,1.12474601e-01,1.43089140e-01
232.73959400,9.15796042e-02,1.18976306e-01
232.75552400,6.88606947e-02,9.89860328e-02
232.77146900,4.78697023e-02,8.35612523e-02
232.78741500,4.90056477e-02,7.29377458e-02
232.80334500,6.46848951e-02,6.71031960e-02
232.81927500,6.81727277e-02,6.58308665e-02
232.83522000,5.67172776e-02,6.87437623e-02
232.85115100,6.15970433e-02,7.53076892e-02
232.86709600,7.23005296e-02,8.48714626e-02
232.88304100,9.17715950e-02,9.66486006e-02
232.89898700,1.16746396e-01,1.09757894e-01
232.91493200,1.27785866e-01,1.23245932e-01
232.93084700,1.57784426e-01,1.36113075e-01
232.94679300,2.00694367e-01,1.47464126e-01
232.96273800,2.31460890e-01,1.56423799e-01
232.97868300,2.37060621e-01,1.62307727e-01
232.99462900,2.03942211e-01,1.64651818e-01
233.01057400,1.95622610e-01,1.63251941e-01
233.02650500,2.01222341e-01,1.58184928e-01
233.04245000,2.13109771e-01,1.49772368e-01
233.05839500,2.16133626e-01,1.38567151e-01
233.07432600,2.09333952e-01,1.25289205e-01
233.09025600,1.93126730e-01,1.10719997e-01
233.10618600,1.59272355e-01,9.56562876e-02
233.12213100,1.38489353e-01,8.08237014e-02
233.13807700,1.32745628e-01,6.68673048e-02
233.15402200,1.29305793e-01,5.42802852e-02
233.16996800,1.15290466e-01,4.34020751e-02
233.18589800,1.22426124e-01,3.44401770e-02
233.20182800,1.33609587e-01,2.74600112e-02
233.21777300,1.47992896e-01,2.24420557e-02
233.23371900,1.76327536e-01,1.93132489e-02
233.24966400,2.17221573e-01,1.79530404e-02
233.26559400,2.59107563e-01,1.82153819e-02
233.28152500,2.69795050e-01,1.99378876e-02
233.29747000,2.55763723e-01,2.29471047e-02
233.31341600,2.27205094e-01,2.70434424e-02
233.32936100,2.29013007e-01,3.19977490e-02
233.34529100,2.43204326e-01,3.75405006e-02
233.36122100,2.60179511e-01,4.33757825e-02
233.37716700,2.58739581e-01,4.91787904e-02
233.39311200,2.29460986e-01,5.45960482e-02
233.40904200,2.19877446e-01,5.92824283e-02
233.42498800,2.13925732e-01,6.29377972e-02
233.44091800,1.93750700e-01,6.53052850e-02
233.45686300,1.89478905e-01,6.62229265e-02
233.47279400,1.66440011e-01,6.56219305e-02
