wavelength_nm,measured_norm,nist_synth_norm
231.89468400,6.77207353e-03,1.82662525e-01
231.91062900,4.97190209e-03,1.83544568e-01
231.92657500,8.98180779e-03,1.85034035e-01
231.94250500,1.32298314e-02,1.87012144e-01
231.95845000,1.02581198e-02,1.89360803e-01
231.97439600,7.60072388e-03,1.91965861e-01
231.99032600,1.09819983e-02,1.94732994e-01
232.00627100,1.09819983e-02,1.97605355e-01
232.02221700,1.90113344e-02,2.00550027e-01
232.03816200,1.35441471e-02,2.03565181e-01
232.05409200,9.32469759e-03,2.06668429e-01
232.07003800,5.94342318e-03,2.09897507e-01
232.08598300,1.07534051e-02,2.13280025e-01
232.10192900,1.71159158e-02,2.16834801e-01
232.11787400,2.36212973e-02,2.20558040e-01
232.13380400,2.17449281e-02,2.24416100e-01
232.14975000,1.57062577e-02,2.28359827e-01
232.16569500,1.57253072e-02,2.32308089e-01
232.18164100,2.00685780e-02,2.36175872e-01
232.19758600,2.99266597e-02,2.39885429e-01
232.21353100,4.01657301e-02,2.43387791e-01
232.22947700,3.99942852e-02,2.46682684e-01
232.24542200,3.44604248e-02,2.49837027e-01
232.26133700,3.14410896e-02,2.52994839e-01
232.27728300,3.48795123e-02,2.56408284e-01
232.29322800,3.75369083e-02,2.60401301e-01
232.30917400,3.16125345e-02,2.65384007e-01
232.32511900,2.79169445e-02,2.71823950e-01
232.34106400,1.62015430e-02,2.80218131e-01
232.35701000,1.06676826e-02,2.91055316e-01
232.37294000,1.36203448e-02,3.04757443e-01
232.38887000,1.28488427e-02,3.21678219e-01
232.40481600,1.34679493e-02,3.42053100e-01
232.42076100,2.13734641e-02,3.65916354e-01
232.43670700,2.25069054e-02,3.93138906e-01
232.45265200,1.98590342e-02,4.23394905e-01
232.46858200,2.50309553e-02,4.56148788e-01
232.48452800,2.64310887e-02,4.90798607e-01
232.50047300,2.72883132e-02,5.26517207e-01
232.51641800,3.58605581e-02,5.62430976e-01
232.53234900,3.33079341e-02,5.97600772e-01
232.54829400,2.85170016e-02,6.31197917e-01
232.56422400,2.60501000e-02,6.62337072e-01
232.58017000,1.86589199e-02,6.90358357e-01
232.59611500,2.02209734e-02,7.14642318e-01
232.61206100,2.48309363e-02,7.34760463e-01
232.62800600,3.14506143e-02,7.50439011e-01
232.64395100,3.51938280e-02,7.61563890e-01
232.65986600,3.44509001e-02,7.68154045e-01
232.67581200,3.38127441e-02,7.70384927e-01
232.69175700,3.57272121e-02,7.68492514e-01
232.70770300,3.54224212e-02,7.62810144e-01
232.72364800,4.49661873e-02,7.53733386e-01
232.73959400,4.51662063e-02,7.41701458e-01
232.75552400,4.66044385e-02,7.27204233e-01
232.77146900,4.62615487e-02,7.10711551e-01
232.78741500,5.22621202e-02,6.92750814e-01
232.80334500,5.43575579e-02,6.73870231e-01
232.81927500,6.04819507e-02,6.54584265e-01
232.83522000,6.87208306e-02,6.35404670e-01
232.85115100,6.82731689e-02,6.16884713e-01
232.86709600,6.57014954e-02,5.99488160e-01
232.88304100,5.17954091e-02,5.83693628e-01
232.89898700,4.02228784e-02,5.69915275e-01
232.91493200,3.93370797e-02,5.58510800e-01
232.93084700,3.94037527e-02,5.49778931e-01
232.94679300,3.78131251e-02,5.43891909e-01
232.96273800,4.28326507e-02,5.40986214e-01
232.97868300,4.74140394e-02,5.41080953e-01
232.99462900,4.91475379e-02,5.44091972e-01
233.01057400,5.79198019e-02,5.49825124e-01
233.02650500,7.97123536e-02,5.57966429e-01
233.04245000,7.48547481e-02,5.68113217e-01
233.05839500,5.94151824e-02,5.79736901e-01
233.07432600,5.30526717e-02,5.92211614e-01
233.09025600,4.40803886e-02,6.04861741e-01
233.10618600,4.53281265e-02,6.16960913e-01
233.12213100,3.53843223e-02,6.27784058e-01
233.13807700,3.36032003e-02,6.36616518e-01
233.15402200,3.85655777e-02,6.42828995e-01
233.16996800,4.06610153e-02,6.45908927e-01
233.18589800,4.09372321e-02,6.45492703e-01
233.20182800,4.09086580e-02,6.41390870e-01
233.21777300,3.62796457e-02,6.33579796e-01
233.23371900,3.86798743e-02,6.22221705e-01
233.24966400,3.96894942e-02,6.07636236e-01
