wavelength_nm,strength
238.25724500,3.20000000e+08
238.26482100,1.52000000e+08
238.28969300,2.24000000e+08
238.30601800,5.64000000e+07
238.31172900,5.58000000e+08
238.31440500,3.44000000e+08
238.31981400,1.23200000e+09
238.32449400,2.15400000e+08
238.35384100,1.62000000e+08
238.43159300,4.10000000e+08
238.43876500,1.28000000e+08
238.44228000,9.60000000e+09
238.45191500,2.17200000e+09
238.46427000,2.28000000e+08
238.48585500,4.20000000e+08
238.50938500,5.94000000e+08
238.56078400,2.50000000e+08
238.58653800,3.60000000e+08
238.60032500,3.00000000e+08
238.63740000,1.35000000e+09
238.64635700,4.00000000e+08
238.70838300,3.60000000e+08
238.73671900,1.44000000e+09
238.74347500,2.16000000e+08
238.76420500,1.10000000e+08
238.82262400,1.26000000e+08
238.82469900,7.24000000e+08
238.83420500,4.00000000e+08
238.83878300,2.42400000e+08
238.86285900,8.40000000e+08
238.86288300,2.04000000e+08
238.89880700,1.02000000e+08
238.94386900,1.32000000e+08
238.95300000,4.32000000e+08
239.00967900,8.80000000e+09
239.07574800,7.02000000e+08
239.07720700,4.20000000e+08
239.16791700,3.36000000e+08
239.17200800,1.56000000e+08
239.19584500,3.18000000e+08
239.20889600,1.77600000e+09
239.21226700,2.40000000e+08
239.21490600,5.28000000e+08
239.25792300,1.44000000e+09
239.33420900,6.00000000e+08
239.40270500,2.36000000e+08
239.48328300,9.60000000e+08
239.48891200,9.00000000e+07
239.54191100,1.06800000e+08
239.54942500,9.40000000e+08
239.55455700,5.60000000e+08
239.56249800,2.59000000e+09
239.61010100,3.24800000e+09
239.67191700,2.52000000e+08
239.70172800,3.00000000e+08
239.72666500,6.90000000e+08
239.86491300,1.94000000e+09
239.90815700,3.78000000e+08
239.91511500,6.36000000e+08
239.92410400,8.34000000e+08
239.92665000,6.04000000e+08
239.94292700,1.52000000e+08
239.95065000,4.72000000e+08
239.97955200,7.76000000e+08
240.00498400,6.44000000e+09
240.02781700,1.12000000e+08
240.03439400,8.10000000e+08
240.12915400,1.51200000e+09
240.17042300,2.30000000e+08
240.18946600,1.60000000e+08
240.20814400,1.50000000e+09
240.22719000,2.20000000e+08
240.23931200,2.50000000e+08
240.24461200,5.80000000e+08
240.26325400,6.55200000e+08
240.27098500,8.16000000e+08
240.35570000,1.10000000e+08
240.37628300,1.00000000e+08
240.39439000,2.60000000e+08
240.39705500,7.52000000e+08
240.40610300,6.40000000e+08
240.44304600,1.28800000e+08
240.48854000,1.56800000e+09
240.49936900,1.96800000e+09
240.50222700,2.48000000e+08
240.56826500,1.26600000e+09
240.58315400,1.28000000e+08
240.64210000,1.96000000e+08
240.66609800,6.44000000e+08
240.67545600,2.64000000e+08
240.69753600,6.16000000e+09
240.69925700,6.08000000e+08
240.74089600,1.60000000e+08
240.77518900,2.94000000e+08
240.86481500,1.16000000e+09
240.87743700,2.52800000e+09
240.92961200,2.16000000e+08
240.95351600,1.91200000e+09
240.98588300,3.74000000e+09
241.02123000,2.10000000e+08
241.02693800,6.12000000e+08
241.05188900,9.30000000e+08
241.05437500,4.26000000e+08
241.09832800,5.22000000e+08
241.10672400,4.74000000e+08
241.16775000,4.56000000e+08
241.18076800,5.16000000e+09
241.20075500,1.32800000e+08
241.22599600,3.96000000e+08
241.24375800,4.50000000e+09
241.33100900,4.08000000e+08
241.34956100,3.60000000e+08
241.36716700,7.76000000e+08
241.39931900,6.58000000e+09
241.42180000,3.30000000e+08
241.50678800,1.26000000e+08
241.53612900,5.40000000e+09
241.60801700,1.27200000e+09
241.64452000,2.38000000e+09
241.67156200,9.00000000e+07
241.78203100,8.80000000e+07
241.78703600,1.14000000e+09
241.81005700,1.44000000e+08
241.82214900,1.50000000e+08
241.84365500,1.82400000e+09
241.85740000,1.54000000e+07
241.86648800,2.80000000e+08
241.90036500,6.72000000e+08
241.99313700,1.60000000e+08
241.99881800,9.72000000e+08
242.04022000,1.30000000e+07
242.10402000,2.16000000e+08
242.15130000,2.34000000e+07
242.18173300,1.50000000e+08
242.19450700,2.82000000e+08
242.26879500,1.16800000e+09
242.27853700,3.10000000e+08
242.32101400,8.40000000e+08
242.34992200,1.20800000e+09
242.41452900,2.65200000e+09
242.42042000,3.00000000e+08
242.43896000,1.28800000e+08
242.45927400,7.44000000e+08
242.47769500,2.20000000e+08
242.53633300,1.04000000e+08
242.56375800,2.78400000e+09
242.56854100,1.92000000e+08
242.60774000,1.50000000e+09
242.61934000,5.20000000e+08
242.70545700,4.44000000e+08
242.71998400,2.38800000e+09
242.72296000,6.80000000e+08
242.72835600,4.00000000e+08
242.82918000,6.40000000e+08
242.83635300,2.68000000e+09
242.84569900,2.20000000e+08
242.85541600,3.44000000e+08
242.87998300,5.52000000e+08
242.89684000,2.20000000e+08
242.90357600,4.92000000e+08
242.91538400,1.05000000e+09
242.93863200,2.76000000e+08
242.98481000,1.20800000e+09
242.98615600,5.40000000e+08
243.00780400,1.91000000e+09
243.08385000,3.90000000e+08
243.08805800,3.60000000e+08
243.09980800,4.28000000e+08
243.12447000,1.36000000e+08
243.13280000,3.15000000e+07
243.18283500,5.84000000e+08
243.20319900,3.20000000e+08
243.22609000,1.25600000e+09
243.23643400,2.50000000e+08
243.27000800,9.60000000e+07
243.27912100,9.00000000e+07
243.28728500,4.00400000e+09
243.30411200,2.46000000e+08
243.34352500,1.76000000e+08
243.34985900,1.56000000e+08
243.35812300,2.64000000e+08
243.40587500,4.32000000e+08
243.40593700,4.64000000e+08
243.42372700,2.01000000e+09
243.46206000,1.50000000e+08
243.46493000,5.20000000e+08
243.47290000,3.34800000e+09
